No.,Source,Src Port,Destination,Dst Port,Protocol,Length,Info
1,192.168.3.205,55845,192.168.3.207,445,TCP,74,55845 > microsoft-ds [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=25102494 TSecr=0 WS=16
2,192.168.3.207,445,192.168.3.205,55845,TCP,78,"microsoft-ds > 55845 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 WS=1 TSval=0 TSecr=0 SACK_PERM=1"
3,192.168.3.205,55845,192.168.3.207,445,TCP,66,55845 > microsoft-ds [ACK] Seq=1 Ack=1 Win=14608 Len=0 TSval=25102495 TSecr=0
4,192.168.3.205,55845,192.168.3.207,445,SMB,154,Negotiate Protocol Request
5,192.168.3.207,445,192.168.3.205,55845,SMB,155,Negotiate Protocol Response
6,192.168.3.205,55845,192.168.3.207,445,TCP,66,55845 > microsoft-ds [ACK] Seq=89 Ack=90 Win=14608 Len=0 TSval=25102496 TSecr=672320
7,192.168.3.205,55845,192.168.3.207,445,SMB,247,"Session Setup AndX Request, NTLMSSP_NEGOTIATE"
8,192.168.3.207,445,192.168.3.205,55845,SMB,407,"Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED"
9,192.168.3.205,55845,192.168.3.207,445,SMB,543,"Session Setup AndX Request, NTLMSSP_AUTH, User: .\\"
10,192.168.3.207,445,192.168.3.205,55845,SMB,105,"Session Setup AndX Response, Error: STATUS_LOGON_FAILURE"
11,192.168.3.205,55845,192.168.3.207,445,SMB,169,"Session Setup AndX Request, User: .\\"
12,192.168.3.207,445,192.168.3.205,55845,SMB,158,Session Setup AndX Response
13,192.168.3.205,55845,192.168.3.207,445,SMB,141,"Tree Connect AndX Request, Path: \\\\192.168.3.207\\IPC$"
14,192.168.3.207,445,192.168.3.205,55845,SMB,116,Tree Connect AndX Response
15,192.168.3.205,55845,192.168.3.207,445,SMB,161,"NT Create AndX Request, FID: 0x4000, Path: \\SRVSVC"
16,192.168.3.207,445,192.168.3.205,55845,SMB,205,"NT Create AndX Response, FID: 0x4000"
17,192.168.3.205,55845,192.168.3.207,445,SMB,162,"NT Create AndX Request, FID: 0x4001, Path: \\BROWSER"
18,192.168.3.207,445,192.168.3.205,55845,SMB,205,"NT Create AndX Response, FID: 0x4001"
19,192.168.3.205,55845,192.168.3.207,445,DCERPC,733,"Bind: call_id: 0 Fragment: Single, 13 context items, 1st 893dc32f-b2c1-0fc3-a2fa-141922345696 V3.3"
20,192.168.3.207,445,192.168.3.205,55845,SMB,117,"Write AndX Response, FID: 0x4001, 600 bytes"
21,192.168.3.205,55845,192.168.3.207,445,SMB,129,"Read AndX Request, FID: 0x4001, 1011 bytes at offset 979"
22,192.168.3.207,445,192.168.3.205,55845,DCERPC,486,Bind_ack: call_id: 0 Fragment: Single accept max_xmit: 4280 max_recv: 4280
23,192.168.3.205,55845,192.168.3.207,445,SRVSVC,233,NETRPRNAMECANONICALIZE request[Long frame (76 bytes)]
24,192.168.3.207,445,192.168.3.205,55845,SMB,117,"Write AndX Response, FID: 0x4001, 100 bytes"
25,192.168.3.205,55845,192.168.3.207,445,SMB,129,"Read AndX Request, FID: 0x4001, 506 bytes at offset 501"
26,192.168.3.207,445,192.168.3.205,55845,SMB,636,"Read AndX Response, FID: 0x4001, 506 bytes"
